slug	company_name	job_title	primary_role	stage	next_action	suggested_intent	follow_up_due	days_since_anchor	contact_name	package_generated_on	communication_log	latest_cv_pdf	latest_cover_letter_pdf
coperion-gmbh-werkstudent-m-w-d-im-bereich-it-prozessmanagement	Coperion GmbH	Werkstudent (m/w/d) im Bereich IT (Prozessmanagement)	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-03-28		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/coperion-gmbh-werkstudent-m-w-d-im-bereich-it-prozessmanagement/cv/resume-cuong-le-nguyen-werkstudent-m-w-d-im-bereich-it-prozessmanagement-20260328-213808.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/coperion-gmbh-werkstudent-m-w-d-im-bereich-it-prozessmanagement/cover-letter/cover-letter-cuong-le-nguyen-werkstudent-m-w-d-im-bereich-it-prozessmanagement-20260328-213808.pdf
dr-ing-h-c-f-porsche-ag-werkstudent-m-w-d-digital-solutions	Dr. Ing. h.c. F. Porsche AG	Werkstudent (m/w/d) Digital Solutions	implementation_enablement	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/dr-ing-h-c-f-porsche-ag-werkstudent-m-w-d-digital-solutions/cv/resume-le-cuong-nguyen-werkstudent-m-w-d-digital-solutions-20260412-205825.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/dr-ing-h-c-f-porsche-ag-werkstudent-m-w-d-digital-solutions/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-m-w-d-digital-solutions-20260412-205825.pdf
enbw-werkstudent-kundenschnittstelle-sonderlosungen-w-m-d	EnBW	Werkstudent Kundenschnittstelle Sonderlösungen (w/m/d)	workflow_operations_analyst	package_generated	confirm_if_application_was_sent	none	no		Fabian Schmidthäußler	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/enbw-werkstudent-kundenschnittstelle-sonderlosungen-w-m-d/cv/resume-le-cuong-nguyen-werkstudent-kundenschnittstelle-sonderlosungen-w-m-d-20260412-171810.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/enbw-werkstudent-kundenschnittstelle-sonderlosungen-w-m-d/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-kundenschnittstelle-sonderlosungen-w-m-d-20260412-171810.pdf
example-mittelstand-gmbh	Example Mittelstand GmbH	Product Manager	product_manager	package_generated	confirm_if_application_was_sent	none	no			2026-03-27		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/example-mittelstand-gmbh/cv/cv_ai_product_ops.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/example-mittelstand-gmbh/cover-letter/cover_letter.pdf
example-mittelstand-gmbh-product-manager	Example Mittelstand GmbH	Product Manager	product_manager	package_generated	confirm_if_application_was_sent	none	no			2026-04-12			
future-sample-gmbh-working-student-product-operations-ai-workflow	Future Sample GmbH	Working Student Product Operations & AI Workflow	ai_product_ops	package_generated	confirm_if_application_was_sent	none	no			2026-04-14		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/future-sample-gmbh-working-student-product-operations-ai-workflow/cv/resume-le-cuong-nguyen-working-student-product-operations-ai-workflow-20260414-001304.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/future-sample-gmbh-working-student-product-operations-ai-workflow/cover-letter/cover-letter-le-cuong-nguyen-working-student-product-operations-ai-workflow-20260414-001304.pdf
hosokawa-alpine-working-student-m-f-d-for-ai	Hosokawa Alpine	Working Student (m/f/d) for AI	ai_product_ops	package_generated	confirm_if_application_was_sent	none	no		Katharina Krebs	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/hosokawa-alpine-working-student-m-f-d-for-ai/cv/resume-le-cuong-nguyen-working-student-m-f-d-for-ai-20260412-143301.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/hosokawa-alpine-working-student-m-f-d-for-ai/cover-letter/cover-letter-le-cuong-nguyen-working-student-m-f-d-for-ai-20260412-143301.pdf
ilos-projects-gmbh-process-digitalisation-working-student	ILOS Projects GmbH	Process & Digitalisation - working student	workflow_operations_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/ilos-projects-gmbh-process-digitalisation-working-student/cv/resume-le-cuong-nguyen-process-digitalisation-working-student-20260412-195223.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/ilos-projects-gmbh-process-digitalisation-working-student/cover-letter/cover-letter-le-cuong-nguyen-process-digitalisation-working-student-20260412-195223.pdf
it-baden-wurttemberg-bitbw-werkstudent-im-bereich-controlling-w-m-d	IT Baden-Württemberg (BITBW)	Werkstudent im Bereich Controlling (w/m/d)	business_analyst	package_generated	confirm_if_application_was_sent	none	no			2026-03-28		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/it-baden-wurttemberg-bitbw-werkstudent-im-bereich-controlling-w-m-d/cv/resume-cuong-le-nguyen-werkstudent-im-bereich-controlling-w-m-d-20260328-203343.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/it-baden-wurttemberg-bitbw-werkstudent-im-bereich-controlling-w-m-d/cover-letter/cover-letter-cuong-le-nguyen-werkstudent-im-bereich-controlling-w-m-d-20260328-203343.pdf
komm-one-werkstudent-netzwerk-it-security-w-m-d	Komm.ONE	Werkstudent Netzwerk/IT-Security (w/m/d)	business_analyst	closed_rejected	archive_or_reapply_later	reply	no	20	Tamara Stengel	2026-03-28	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/komm-one-werkstudent-netzwerk-it-security-w-m-d/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/komm-one-werkstudent-netzwerk-it-security-w-m-d/cv/resume-cuong-le-nguyen-werkstudent-netzwerk-it-security-w-m-d-20260328-204655.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/komm-one-werkstudent-netzwerk-it-security-w-m-d/cover-letter/cover-letter-cuong-le-nguyen-werkstudent-netzwerk-it-security-w-m-d-20260328-204655.pdf
